w_c,nca,cca_fine_mod,cca_dens,cca_abs_cap ,cca_spec_gr,cca,cca_rep_perc,cfa_mean_part_size,cfa_nfa,cfa_rep_perc, nfa_nfa,age,ft
0.42,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,4.56,10,41.12,28,2.136889937
0.42,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,4.56,10,41.12,60,3.148427673
0.42,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,4.56,10,41.12,60,3.144654088
0.42,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,4.56,10,41.12,60,2.987421384
0.42,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,4.56,10,41.12,60,3.144654088
0.42,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,4.56,10,41.12,60,3.005031447
0.42,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,4.56,10,41.12,60,3.050314465
0.45,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,4.56,10,41.12,14,1.698113208
0.45,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,4.56,10,41.12,14,1.729559748
0.45,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,4.56,10,41.12,14,1.794496855
0.45,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,4.56,10,41.12,14,1.760566038
0.45,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,4.56,10,41.12,14,1.726289308
0.45,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,4.56,10,41.12,14,1.713836478
0.45,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,4.56,10,41.12,28,2.013207547
0.45,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,4.56,10,41.12,28,2.073899371
0.45,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,4.56,10,41.12,28,2.104402516
0.45,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,4.56,10,41.12,28,2.051257862
0.45,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,4.56,10,41.12,28,1.91918239
0.45,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,4.56,10,41.12,28,1.90754717
0.45,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,4.56,10,41.12,60,2.48490566
0.45,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,4.56,10,41.12,60,2.536163522
0.45,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,4.56,10,41.12,60,2.767610063
0.45,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,4.56,10,41.12,60,2.720754717
0.45,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,4.56,10,41.12,60,2.822327044
0.45,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,4.56,10,41.12,60,2.71163522
0.43,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,9.13,20,36.55,14,1.390880503
0.43,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,9.13,20,36.55,14,1.41509434
0.43,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,9.13,20,36.55,14,1.476415094
