w_c,nca,cca_fine_mod,cca_dens,cca_abs_cap ,cca_spec_gr,cca,cca_rep_perc,cfa_mean_part_size,cfa_nfa,cfa_rep_perc, nfa_nfa,age,fc,,,,
0.41,51.41,5.50,1114.147,14.23,1.92,12.85,20,56.84,4.56,10,41.12,60,36.41,,,,
0.41,51.41,5.50,1114.147,14.23,1.92,12.85,20,56.84,4.56,10,41.12,60,35.65,,,,
0.41,51.41,5.50,1114.147,14.23,1.92,12.85,20,56.84,4.56,10,41.12,60,35.65,,,,
0.41,51.41,5.50,1114.147,14.23,1.92,12.85,20,56.84,4.56,10,41.12,60,36.29,,,,
0.42,44.98,5.50,1114.147,14.23,1.92,19.27,30,56.84,4.56,10,41.12,14,20.37,,,,
0.42,44.98,5.50,1114.147,14.23,1.92,19.27,30,56.84,4.56,10,41.12,14,21.65,,,,
0.42,44.98,5.50,1114.147,14.23,1.92,19.27,30,56.84,4.56,10,41.12,14,22.28,,,,
0.42,44.98,5.50,1114.147,14.23,1.92,19.27,30,56.84,4.56,10,41.12,14,19.10,,,,
0.42,44.98,5.50,1114.147,14.23,1.92,19.27,30,56.84,4.56,10,41.12,14,21.65,,,,
0.42,44.98,5.50,1114.147,14.23,1.92,19.27,30,56.84,4.56,10,41.12,14,22.28,,,,
0.42,44.98,5.50,1114.147,14.23,1.92,19.27,30,56.84,4.56,10,41.12,28,23.55,,,,
0.42,44.98,5.50,1114.147,14.23,1.92,19.27,30,56.84,4.56,10,41.12,28,23.17,,,,
0.42,44.98,5.50,1114.147,14.23,1.92,19.27,30,56.84,4.56,10,41.12,28,23.55,,,,
0.42,44.98,5.50,1114.147,14.23,1.92,19.27,30,56.84,4.56,10,41.12,28,22.79,,,,
0.42,44.98,5.50,1114.147,14.23,1.92,19.27,30,56.84,4.56,10,41.12,28,24.19,,,,
0.42,44.98,5.50,1114.147,14.23,1.92,19.27,30,56.84,4.56,10,41.12,28,23.55,,,,
0.42,44.98,5.50,1114.147,14.23,1.92,19.27,30,56.84,4.56,10,41.12,60,25.46,,,,
0.42,44.98,5.50,1114.147,14.23,1.92,19.27,30,56.84,4.56,10,41.12,60,25.46,,,,
0.42,44.98,5.50,1114.147,14.23,1.92,19.27,30,56.84,4.56,10,41.12,60,31.83,,,,
0.42,44.98,5.50,1114.147,14.23,1.92,19.27,30,56.84,4.56,10,41.12,60,28.65,,,,
0.42,44.98,5.50,1114.147,14.23,1.92,19.27,30,56.84,4.56,10,41.12,60,31.83,,,,
0.42,44.98,5.50,1114.147,14.23,1.92,19.27,30,56.84,4.56,10,41.12,60,28.65,,,,
0.45,38.55,5.50,1114.147,14.23,1.92,25.7,40,56.84,4.56,10,41.12,14,15.28,,,,
0.45,38.55,5.50,1114.147,14.23,1.92,25.7,40,56.84,4.56,10,41.12,14,15.92,,,,
0.45,38.55,5.50,1114.147,14.23,1.92,25.7,40,56.84,4.56,10,41.12,14,19.10,,,,
0.45,38.55,5.50,1114.147,14.23,1.92,25.7,40,56.84,4.56,10,41.12,14,19.10,,,,
0.45,38.55,5.50,1114.147,14.23,1.92,25.7,40,56.84,4.56,10,41.12,14,21.01,,,,
0.45,38.55,5.50,1114.147,14.23,1.92,25.7,40,56.84,4.56,10,41.12,14,21.01,,,,
0.45,38.55,5.50,1114.147,14.23,1.92,25.7,40,56.84,4.56,10,41.12,28,22.92,,,,
0.45,38.55,5.50,1114.147,14.23,1.92,25.7,40,56.84,4.56,10,41.12,28,22.92,,,,
0.45,38.55,5.50,1114.147,14.23,1.92,25.7,40,56.84,4.56,10,41.12,28,23.55,,,,
0.45,38.55,5.50,1114.147,14.23,1.92,25.7,40,56.84,4.56,10,41.12,28,24.19,,,,
0.45,38.55,5.50,1114.147,14.23,1.92,25.7,40,56.84,4.56,10,41.12,28,24.83,,,,
0.45,38.55,5.50,1114.147,14.23,1.92,25.7,40,56.84,4.56,10,41.12,28,23.55,,,,
0.45,38.55,5.50,1114.147,14.23,1.92,25.7,40,56.84,4.56,10,41.12,60,25.46,,,,
0.45,38.55,5.50,1114.147,14.23,1.92,25.7,40,56.84,4.56,10,41.12,60,25.46,,,,
0.45,38.55,5.50,1114.147,14.23,1.92,25.7,40,56.84,4.56,10,41.12,60,31.83,,,,
